 $x$, $|\psi(x; E_1 = -9.8                            )|^2$, $|\psi(x; E_2 = -5.9                            )|^2$, $|\psi(x; E_3 = -2.9                            )|^2$, $|\psi(x; E_4 = -1.0                            )|^2$, $|\psi(x; E_5 = -0.1                            )|^2$
          3.5625000000000000E+00,          1.0461318285553771E-11,          2.2870686131447992E-08,          1.4992527315725475E-05,          3.1188300937286134E-03,          1.1863776162628781E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.5781250000000000E+00,          9.0734549811864312E-12,          2.0555171658834789E-08,          1.3903429695584252E-05,          2.9845092407868408E-03,          1.1717278009079561E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.5937500000000000E+00,          7.8645795264233279E-12,          1.8473939183670440E-08,          1.2893309386372485E-05,          2.8559301065746081E-03,          1.1572289101028431E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.6093750000000000E+00,          6.8116420869566775E-12,          1.6603303899731159E-08,          1.1956453198111233E-05,          2.7328504028412016E-03,          1.1428807417057298E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.6250000000000000E+00,          5.8945634936355854E-12,          1.4921972887000346E-08,          1.1087559817059860E-05,          2.6150378349778991E-03,          1.1286830218177958E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.6406250000000000E+00,          5.0958531350759429E-12,          1.3410803886340200E-08,          1.0281710256004454E-05,          2.5022697067864355E-03,          1.1146354087274091E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.6562500000000000E+00,          4.4002760477711183E-12,          1.2052588359946801E-08,          9.5343404100217215E-06,          2.3943325396090756E-03,          1.1007374966890507E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.6718750000000000E+00,          3.7945628863461856E-12,          1.0831856398009232E-08,          8.8412155691769098E-06,          2.2910217053963189E-03,          1.0869888195428642E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.6875000000000000E+00,          3.2671572687811080E-12,          9.7347012763558031E-09,          8.1984067499432872E-06,          2.1921410732926986E-03,          1.0733888541805532E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.7031250000000000E+00,          2.8079956995776582E-12,          8.7486216898462732E-09,          7.6022687167571048E-06,          2.0975026693262830E-03,          1.0599370238632086E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.7187500000000000E+00,          2.4083158913062749E-12,          7.8623798842805920E-09,          7.0494195740913142E-06,          2.0069263487933623E-03,          1.0466327013964946E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.7343750000000000E+00,          2.0604898433848155E-12,          7.0658740878248930E-09,          6.5367218177879086E-06,          1.9202394809361974E-03,          1.0334752121684632E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.7500000000000000E+00,          1.7578785064679148E-12,          6.3500238033714922E-09,          6.0612647421723772E-06,          1.8372766455186855E-03,          1.0204638370551124E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.7656250000000000E+00,          1.4947052703248813E-12,          5.7066666676244046E-09,          5.6203481067230739E-06,          1.7578793409121238E-03,          1.0075978151986620E-01,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.7812500000000000E+00,          1.2659458702876025E-12,          5.1284657126328612E-09,          5.2114669728187675E-06,          1.6818957033109803E-03,          9.9487634666336214E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.7968750000000000E+00,          1.0672326190054487E-12,          4.6088259824212664E-09,          4.8322976273725186E-06,          1.6091802367066228E-03,          9.8229859497350067E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.8125000000000000E+00,          8.9477114224130222E-13,          4.1418195625820941E-09,          4.4806845160109126E-06,          1.5395935532551838E-03,          9.6986368953813809E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.8281250000000000E+00,          7.4526803492402537E-13,          3.7221181753757913E-09,          4.1546281139035265E-06,          1.4730021236842332E-03,          9.5757072796694168E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.8437500000000000E+00,          6.1586806112963019E-13,          3.3449325780711665E-09,          3.8522736674157448E-06,          1.4092780373914933E-03,          9.4541877828136583E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.8593750000000000E+00,          5.0409970302155050E-13,          3.0059580789083825E-09,          3.5719007444743454E-06,          1.3482987718975688E-03,          9.3340688102526506E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.8750000000000000E+00,          4.0782802247270066E-13,          2.7013255540278456E-09,          3.3119135359234625E-06,          1.2899469713234118E-03,          9.2153405127891400E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.8906250000000000E+00,          3.2521393812358476E-13,          2.4275574107504824E-09,          3.0708318542308966E-06,          1.2341102335720682E-03,          9.0979928058025086E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.9062500000000000E+00,          2.5467914263544884E-13,          2.1815279984100842E-09,          2.8472827797022913E-06,          1.1806809059030474E-03,          8.9820153875705452E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.9218750000000000E+00,          1.9487599218754913E-13,          1.9604280181495716E-09,          2.6399929078927955E-06,          1.1295558885964535E-03,          8.8673977567361617E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.9375000000000000E+00,          1.4466179487725110E-13,          1.7617325282611939E-09,          2.4477811551907146E-06,          1.0806364464127566E-03,          8.7541292289535513E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.9531250000000000E+00,          1.0307700840534384E-13,          1.5831721822808515E-09,          2.2695520826023394E-06,          1.0338280275627484E-03,          8.6421989527470849E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.9687500000000000E+00,          6.9326931855388584E-14,          1.4227073735935367E-09,          2.1042897006074381E-06,          9.8904008991081973E-04,          8.5315959246149209E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
          3.9843750000000000E+00,          4.2766542918002706E-14,          1.2785049931796008E-09,          1.9510517205956082E-06,          9.4618593414318186E-04,          8.4223090034083140E-02,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00,          0.0000000000000000E+00
